CODE_INSEE_COMMMUNE;NOM_JEU_DE_DONNEES;DATE_HAURE;NOM_CAPTEUR;LOCALISATION_CAPTEUR;NOMBRE_PASSAGES;EVENEMENT
76540;ROUEN_FLUX_PIETONS;2022-05-01T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;3879.0;
76540;ROUEN_FLUX_PIETONS;2022-05-02T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;7182.0;
76540;ROUEN_FLUX_PIETONS;2022-05-04T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;8252.0;
76540;ROUEN_FLUX_PIETONS;2022-05-08T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;3551.0;
76540;ROUEN_FLUX_PIETONS;2022-05-11T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;9369.0;Braderie printemps
76540;ROUEN_FLUX_PIETONS;2022-05-14T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;13880.0;Braderie printemps
76540;ROUEN_FLUX_PIETONS;2022-05-21T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;9873.0;
76540;ROUEN_FLUX_PIETONS;2022-05-25T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;7608.0;Fêtes Jeanne d'Arc
76540;ROUEN_FLUX_PIETONS;2022-05-27T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;8835.0;Fêtes Jeanne d'Arc
76540;ROUEN_FLUX_PIETONS;2022-05-31T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;7299.0;
